Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,897.541,0.225678,0.000479322
200,1304.83,0.211997,0.000302739
225,897.541,0.225704,0.000274825
225,1304.83,0.211981,0.000303247
250,897.541,0.225733,0.000341904
250,1304.83,0.211999,0.000357077
300,897.541,0.225828,0.000786571
300,1304.83,0.212187,0.000370261
350,897.541,0.226106,0.000956637
350,1304.83,0.212216,0.00056905
400,897.541,0.226189,0.0013417
400,1304.83,0.212339,0.000953286
500,897.541,0.227624,0.00412288
500,1304.83,0.213579,0.00303449
600,897.541,0.229276,0.00771715
600,1304.83,0.215548,0.00637063
700,897.541,0.23909,0.00930217
700,1304.83,0.221713,0.00734817
800,897.541,0.248249,0.00877546
800,1304.83,0.228196,0.00791999
850,897.541,0.252001,0.00812552
850,1304.83,0.230852,0.00748451
900,897.541,0.255944,0.00843297
900,1304.83,0.234229,0.00768935
1000,897.541,0.26235,0.00724108
1000,1304.83,0.239205,0.0076616
1100,897.541,0.267955,0.00763739
1100,1304.83,0.245592,0.00916726
1200,897.541,0.27348,0.00764668
1200,1304.83,0.251634,0.010105
1300,897.541,0.278006,0.00784317
1300,1304.83,0.255912,0.00969574
1400,897.541,0.281992,0.00786708
1400,1304.83,0.260143,0.00905882
1500,897.541,0.286715,0.00856297
1500,1304.83,0.268538,0.010409
1600,897.541,0.290699,0.0095921
1600,1304.83,0.271185,0.00828718
1603,897.541,0.290402,0.008765
1603,1304.83,0.271035,0.00852933
1700,897.541,0.293432,0.0088681
1700,1304.83,0.275227,0.00735762
1800,897.541,0.297367,0.00974708
1800,1304.83,0.278458,0.00659457
1900,897.541,0.301486,0.0101991
1900,1304.83,0.284262,0.00826121
